model,accuracy,f1,precision,recall,roc_auc,cv_mean,cv_std,train_time_sec
GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.65
AdaBoost,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.021
RandomForest,0.9982,0.9982,0.9983,0.9982,1.0,0.9996,0.0007,0.576
LogisticRegression,0.9877,0.9877,0.9877,0.9877,0.9995,0.9804,0.003,0.068
KNN,0.9737,0.9737,0.9737,0.9737,0.9889,0.9561,0.005,0.008
ExtraTrees,0.9719,0.9719,0.9719,0.9719,0.9976,0.9726,0.0045,0.42
SVM,0.9596,0.9598,0.9604,0.9596,0.9954,0.9589,0.0049,0.411
