label,label_name,video_group,left_knee_angle,right_knee_angle,avg_knee_angle,knee_angle_diff,left_hip_angle,right_hip_angle,avg_hip_angle,hip_angle_diff,left_trunk_angle,right_trunk_angle,avg_trunk_angle,left_ankle_angle,right_ankle_angle,avg_ankle_angle,spine_lean_angle,left_elbow_angle,right_elbow_angle,left_hip_knee_y_diff,right_hip_knee_y_diff,avg_hip_knee_y_diff,hip_below_knee,left_knee_toe_x_diff,right_knee_toe_x_diff,avg_knee_toe_x_diff,knee_ankle_width_ratio,shoulder_hip_width_ratio,stance_width,hip_y_symmetry,shoulder_y_symmetry,knee_y_symmetry,ankle_y_symmetry,nose_rel_x,nose_rel_y,l_shoulder_rel_x,l_shoulder_rel_y,r_shoulder_rel_x,r_shoulder_rel_y,l_hip_rel_x,l_hip_rel_y,r_hip_rel_x,r_hip_rel_y,l_knee_rel_x,l_knee_rel_y,r_knee_rel_x,r_knee_rel_y,l_ankle_rel_x,l_ankle_rel_y,r_ankle_rel_x,r_ankle_rel_y,l_foot_rel_x,l_foot_rel_y,r_foot_rel_x,r_foot_rel_y,body_height_range,score_knee_depth,score_knee_symmetry,score_knee_valgus,score_spine_upright,score_hip_hinge,score_body_symmetry,form_score,source_file
1,good_form,1,111.73646100198131,111.77907281419348,111.7577669080874,0.04261181221217214,106.42218804677228,110.7336048669154,108.57789645684383,4.311416820143123,159.20362801361833,163.63005643428042,161.41684222394937,121.09411044117455,118.06338513748467,119.57874778932961,18.716771930310482,150.52366574013408,154.3443733591145,-0.07158517837524414,-0.06899279356002808,-0.07028898596763611,0.0,-0.007718026638031006,-0.01176232099533081,-0.009740173816680908,0.6590725046020175,0.7884120232330003,0.016231656074523926,0.015568077564239502,0.0052353739738464355,0.018160462379455566,0.03615880012512207,-0.1328144371509552,-0.22063204646110535,-0.07443800568580627,-0.20635399222373962,-0.06361749768257141,-0.2011186182498932,0.0068617165088653564,0.007784038782119751,-0.0068617165088653564,-0.007784038782119751,-0.0874052345752716,0.07936921715736389,-0.09810373187065125,0.061208754777908325,-0.03188928961753845,0.27989014983177185,-0.04812094569206238,0.24373134970664978,-0.0796872079372406,0.3303850591182709,-0.08634141087532043,0.2798508107662201,0.5005221962928772,18.96,14.98,4.54,13.76,7.14,7.92,67.308,1_frame_00015.jpg
1,good_form,1,101.45248575648365,95.3200651874717,98.38627547197768,6.1324205690119555,102.0889484610055,95.76356309196582,98.92625577648566,6.3253853690396795,163.08202552402327,164.96799330530075,164.025009414662,117.28113022298139,118.46553432879666,117.87333227588903,16.03235724482744,154.51515126281626,154.71446330536497,-0.0430377721786499,-0.02952253818511963,-0.036280155181884766,0.0,-0.014275014400482178,-0.014442384243011475,-0.014358699321746826,0.5009760273102042,1.5554733233932445,0.01182258129119873,0.021697580814361572,0.004972279071807861,0.035212814807891846,0.030676960945129395,-0.11299437284469604,-0.20631304383277893,-0.06219971179962158,-0.20327159762382507,-0.05319494009017944,-0.1982993185520172,0.0028940439224243164,0.010848790407180786,-0.0028940439224243164,-0.010848790407180786,-0.07475095987319946,0.05388656258583069,-0.08067429065704346,0.018673747777938843,-0.01751798391342163,0.2349000871181488,-0.02934056520462036,0.2042231261730194,-0.060475945472717285,0.2776033580303192,-0.06623190641403198,0.23976567387580872,0.44121313095092773,22.67,12.7,0.03,14.66,8.11,7.33,65.495,1_frame_00020.jpg
1,good_form,1,125.39591094819899,131.09096376515336,128.24343735667617,5.695052816954373,125.34703131795166,131.66185766462385,128.50444449128776,6.3148263466721914,163.98234009427452,167.05135217857108,165.5168461364228,108.15392353067408,119.14238251996112,113.6481530253176,14.54447174923252,146.5302671156779,140.69009760323087,-0.11735212802886963,-0.11774235963821411,-0.11754724383354187,0.0,-0.006592214107513428,-0.0033559799194335938,-0.004974097013473511,1.3306267986644138,6.21646045014502,0.005659580230712891,0.014391481876373291,0.004623979330062866,0.014001250267028809,0.029806554317474365,-0.12471640110015869,-0.3116319179534912,-0.07161945104598999,-0.24696871638298035,-0.055331408977508545,-0.24234473705291748,0.0013095736503601074,0.0071957409381866455,-0.0013095736503601074,-0.0071957409381866455,-0.09251177310943604,0.12454786896705627,-0.08497965335845947,0.11054661870002747,-0.03380101919174194,0.3298240602016449,-0.039460599422454834,0.30001750588417053,-0.08591955900192261,0.365132600069046,-0.08162367343902588,0.33886203169822693,0.6414559781551361,14.38,12.86,20.0,15.15,5.15,8.1,75.641,1_frame_00100.jpg
0,bad_form,1,91.37014376920655,127.13543777857949,109.25279077389303,35.76529400937294,83.87106927022202,125.3500987631194,104.61058401667071,41.47902949289738,158.65189323316247,162.12121060806518,160.38655192061384,136.9798503421831,118.23908901736841,127.60946967977577,19.69735872583507,139.16361236011284,157.60198265857798,-0.021922647953033447,-0.11484837532043457,-0.06838551163673401,0.0,-0.02990543842315674,-0.009496629238128662,-0.0197010338306427,0.7095215799014644,8.676609467950161,0.010030925273895264,0.009604036808013916,0.006127715110778809,0.08332169055938721,0.03999745845794678,-0.1213555634021759,-0.22550681233406067,-0.07464179396629333,-0.18865707516670227,-0.05824360251426697,-0.18252936005592346,0.0009444653987884521,0.004802018404006958,-0.0009444653987884521,-0.004802018404006958,-0.07967886328697205,0.026724666357040405,-0.08679673075675964,0.11004635691642761,-0.02340260148048401,0.2551254332065582,-0.03343352675437927,0.295122891664505,-0.04977342486381531,0.30236122012138367,-0.07730010151863098,0.33796873688697815,0.5206297039985657,19.65,1.59,5.99,13.43,7.54,8.43,56.626,1_frame_00105.jpg
1,good_form,1,122.87995160425183,124.20104471131657,123.5404981577842,1.3210931070647405,119.0706303692835,124.52922979913149,121.79993008420749,5.458599429847979,159.8999402002605,163.64671060700115,161.77332540363082,109.56290498903027,121.04699605640954,115.3049505227199,18.320792481942622,145.1660415275413,174.42651079348602,-0.08369863033294678,-0.08487069606781006,-0.08428466320037842,0.0,-0.010232746601104736,-0.017251968383789062,-0.0137423574924469,0.7875146554013726,0.6601679424506236,0.008745014667510986,0.018072307109832764,0.0032030045986175537,0.016900241374969482,0.027728557586669922,-0.10478648543357849,-0.1949763000011444,-0.05817750096321106,-0.16393956542015076,-0.051451414823532104,-0.1671425700187683,0.00509372353553772,0.009036153554916382,-0.00509372353553772,-0.009036153554916382,-0.06724545359611511,0.09273478388786316,-0.07413306832313538,0.07583454251289368,-0.01228228211402893,0.28091248869895935,-0.021027296781539917,0.25318393111228943,-0.057012706995010376,0.3132287561893463,-0.056881099939346313,0.2926149070262909,0.47588878870010376,15.68,14.5,8.21,13.89,5.82,7.87,65.988,1_frame_00110.jpg
1,good_form,1,92.77716057090551,93.04324759180409,92.9102040813548,0.2660870208985813,88.50353767080563,90.33136025731204,89.41744896405883,1.8278225865064144,158.79344458504198,160.5407648981615,159.66710474160175,114.78369463199468,116.97598315477286,115.87983889338378,20.35724574072419,153.64692509905626,139.2861800309161,-0.033082783222198486,-0.032270967960357666,-0.032676875591278076,0.0,-0.012737095355987549,-0.013838410377502441,-0.013287752866744995,0.517172794979875,0.18783721134021653,0.012515366077423096,0.012021899223327637,0.00031766295433044434,0.012833714485168457,0.03061908483505249,-0.1285932958126068,-0.2183067798614502,-0.07045325636863708,-0.18740522861480713,-0.06873783469200134,-0.18772289156913757,0.00456574559211731,0.006010949611663818,-0.00456574559211731,-0.006010949611663818,-0.08781614899635315,0.039093732833862305,-0.09428927302360535,0.026260018348693848,-0.028542131185531616,0.23387455940246582,-0.04105749726295471,0.20325547456741333,-0.0750790536403656,0.2753540277481079,-0.0804508626461029,0.24092382192611694,0.452181339263916,24.19,14.9,0.49,13.21,9.06,8.77,70.621,1_frame_00120.jpg
0,bad_form,1,113.02746236710794,111.93448916806005,112.480975767584,1.09297319904789,108.56754179941055,108.29659802235444,108.43206991088249,0.27094377705610384,159.4463908292596,161.48585497222194,160.46612290074077,113.45233152150676,122.13516270160333,117.79374711155505,19.575379338419694,173.364346165585,162.79829940941138,-0.07590699195861816,-0.06873577833175659,-0.07232138514518738,0.0,-0.0023192167282104492,-0.00460207462310791,-0.0034606456756591797,0.31255826332366504,1.8153749745007453,0.010684072971343994,0.013733744621276855,0.0026265978813171387,0.020904958248138428,0.03198587894439697,-0.13356420397758484,-0.24604880809783936,-0.07330688834190369,-0.19515016674995422,-0.06455054879188538,-0.19252356886863708,0.0024112164974212646,0.006866872310638428,-0.0024112164974212646,-0.006866872310638428,-0.09094300866127014,0.08277386426925659,-0.09428271651268005,0.061868906021118164,-0.03552106022834778,0.2749597430229187,-0.04620513319969177,0.24297386407852173,-0.08862379193305969,0.3187972903251648,-0.08968064188957214,0.2896045446395874,0.5210085511207581,18.76,14.59,0.0,13.47,7.16,8.36,62.341,1_frame_00125.jpg
0,bad_form,1,138.6553233794678,138.99483348232218,138.825078430895,0.3395101028543763,131.71870285118646,135.14435539258574,133.43152912188611,3.4256525413992733,162.52468300841292,165.35667587933233,163.94067944387263,118.99394790305378,125.45123604558705,122.22259197432041,16.13010438679842,154.15280123750424,147.43336849122167,-0.1522456407546997,-0.14402812719345093,-0.14813688397407532,0.0,0.010046839714050293,0.0057912468910217285,0.00791904330253601,0.6858041326257183,0.6291200789948928,0.0075304508209228516,0.0018078088760375977,0.021616220474243164,0.010025322437286377,0.02753239870071411,-0.1319918930530548,-0.2840655744075775,-0.07353857159614563,-0.25195664167404175,-0.06594446301460266,-0.23034042119979858,0.0060350000858306885,0.0009039044380187988,-0.0060350000858306885,-0.0009039044380187988,-0.08476397395133972,0.1531495451927185,-0.08992907404899597,0.14312422275543213,-0.045185476541519165,0.36604851484298706,-0.05271592736244202,0.33851611614227295,-0.09481081366539001,0.4069964289665222,-0.0957203209400177,0.38341963291168213,0.6501140892505646,11.44,14.87,5.31,14.62,4.66,7.66,58.557,1_frame_00165.jpg
0,bad_form,1,115.39981379676237,116.66083305358255,116.03032342517247,1.2610192568201768,111.22212951119678,112.76061738089072,111.99137344604375,1.5384878696939381,158.55380318699196,160.0275159240611,159.29065955552653,116.44912936247287,121.98904702268476,119.21908819257882,20.781129742443614,152.38928158906427,155.90963681408343,-0.07991009950637817,-0.0794718861579895,-0.07969099283218384,0.0,-0.010245740413665771,-0.014577984809875488,-0.01241186261177063,0.4649734759787321,2.7112556006393462,0.009788691997528076,0.019798994064331055,0.017419099807739258,0.020237207412719727,0.02366340160369873,-0.12363946437835693,-0.18729817867279053,-0.0753333568572998,-0.1885828971862793,-0.061186790466308594,-0.17116379737854004,0.002608358860015869,0.009899497032165527,-0.002608358860015869,-0.009899497032165527,-0.08410358428955078,0.0898095965385437,-0.08865553140640259,0.06957238912582397,-0.02615600824356079,0.2763005495071411,-0.03594470024108887,0.2526371479034424,-0.07385784387588501,0.3219056725502014,-0.0740775465965271,0.2950702905654907,0.4648834466934204,17.77,14.53,0.0,13.07,6.8,6.28,58.448,1_frame_00175.jpg
1,good_form,1,91.71578962410472,91.11691066769995,91.41635014590233,0.5988789564047607,80.95747281335021,90.1279874645449,85.54273013894755,9.170514651194694,151.51488327100023,163.18267220206732,157.34877773653378,99.89002905391166,121.96118906242593,110.92560905816879,23.024066777085643,174.28293536382867,165.91304149465267,-0.03457808494567871,-0.028167903423309326,-0.03137299418449402,0.0,-0.014852702617645264,-0.013503789901733398,-0.014178246259689331,0.04682130920790426,6.143039271803612,0.0173681378364563,0.016953229904174805,0.009170293807983398,0.02336341142654419,0.05437469482421875,-0.12800836563110352,-0.17950662970542908,-0.09294635057449341,-0.1686508059501648,-0.0542948842048645,-0.1778210997581482,0.003145456314086914,0.008476614952087402,-0.003145456314086914,-0.008476614952087402,-0.09484279155731201,0.04305469989776611,-0.09565603733062744,0.019691288471221924,-0.0263405442237854,0.2574286460876465,-0.0437086820602417,0.20305395126342773,-0.07999008893966675,0.2854900360107422,-0.08215224742889404,0.24542468786239624,0.43693527579307556,24.61,14.78,0.0,12.33,9.45,7.39,68.541,1_frame_00180.jpg
