label,label_name,left_knee_angle,right_knee_angle,avg_knee_angle,knee_angle_diff,left_hip_angle,right_hip_angle,avg_hip_angle,hip_angle_diff,left_trunk_angle,right_trunk_angle,avg_trunk_angle,left_ankle_angle,right_ankle_angle,avg_ankle_angle,spine_lean_angle,left_elbow_angle,right_elbow_angle,left_hip_knee_y_diff,right_hip_knee_y_diff,avg_hip_knee_y_diff,hip_below_knee,left_knee_toe_x_diff,right_knee_toe_x_diff,avg_knee_toe_x_diff,knee_ankle_width_ratio,shoulder_hip_width_ratio,stance_width,hip_y_symmetry,shoulder_y_symmetry,knee_y_symmetry,ankle_y_symmetry,nose_rel_x,nose_rel_y,l_shoulder_rel_x,l_shoulder_rel_y,r_shoulder_rel_x,r_shoulder_rel_y,l_hip_rel_x,l_hip_rel_y,r_hip_rel_x,r_hip_rel_y,l_knee_rel_x,l_knee_rel_y,r_knee_rel_x,r_knee_rel_y,l_ankle_rel_x,l_ankle_rel_y,r_ankle_rel_x,r_ankle_rel_y,l_foot_rel_x,l_foot_rel_y,r_foot_rel_x,r_foot_rel_y,body_height_range,score_knee_depth,score_knee_symmetry,score_knee_valgus,score_spine_upright,score_hip_hinge,score_body_symmetry,form_score,source_file
1,good_form,111.73646100198131,111.77907281419348,111.7577669080874,0.04261181221217214,106.42218804677228,110.7336048669154,108.57789645684383,4.311416820143123,159.20362801361833,163.63005643428042,161.41684222394937,121.09411044117455,118.06338513748467,119.57874778932961,18.716771930310482,150.52366574013408,154.3443733591145,-0.07158517837524414,-0.06899279356002808,-0.07028898596763611,0.0,-0.007718026638031006,-0.01176232099533081,-0.009740173816680908,0.6590725046020175,0.7884120232330003,0.016231656074523926,0.015568077564239502,0.0052353739738464355,0.018160462379455566,0.03615880012512207,-0.1328144371509552,-0.22063204646110535,-0.07443800568580627,-0.20635399222373962,-0.06361749768257141,-0.2011186182498932,0.0068617165088653564,0.007784038782119751,-0.0068617165088653564,-0.007784038782119751,-0.0874052345752716,0.07936921715736389,-0.09810373187065125,0.061208754777908325,-0.03188928961753845,0.27989014983177185,-0.04812094569206238,0.24373134970664978,-0.0796872079372406,0.3303850591182709,-0.08634141087532043,0.2798508107662201,0.5005221962928772,18.96,14.98,4.54,13.76,7.14,7.92,67.308,1_frame_00015.jpg
1,good_form,106.95668607325588,109.39476690686725,108.17572649006156,2.438080833611366,108.91163334849827,112.59589684333768,110.75376509591797,3.6842634948394135,164.9530159244985,167.05058544955452,166.0018006870265,117.39426220663866,116.39564846470026,116.89495533566947,14.025194318802619,154.8944235195467,158.19676792050637,-0.05285942554473877,-0.05666416883468628,-0.054761797189712524,0.0,-0.013021767139434814,-0.009529829025268555,-0.011275798082351685,0.3050385531805452,5.211668717083968,0.006450533866882324,0.012511789798736572,0.0009415745735168457,0.008707046508789062,0.02644878625869751,-0.1122063398361206,-0.2289656698703766,-0.061248719692230225,-0.21653059124946594,-0.04669314622879028,-0.2155890166759491,-0.0013959407806396484,0.006255894899368286,0.0013959407806396484,-0.006255894899368286,-0.07991015911102295,0.059115320444107056,-0.07794219255447388,0.05040827393531799,-0.01802438497543335,0.26162663102149963,-0.024474918842315674,0.23517784476280212,-0.06688839197158813,0.30945947766304016,-0.06841236352920532,0.27549150586128235,0.4905923008918762,19.95,14.09,0.0,15.32,6.92,8.65,64.941,1_frame_00016.jpg
1,good_form,100.40749065518351,103.39121655218698,101.89935360368524,2.983725897003467,96.25528585026133,100.51195364688495,98.38361974857314,4.256667796623617,158.92605346921627,162.74321091965047,160.83463219443337,116.82978890809659,123.26255814633089,120.04617352721374,19.265813251495626,152.96324102400814,161.65972662585676,-0.05179625749588013,-0.04929262399673462,-0.05054444074630737,0.0,-0.012043118476867676,-0.009641170501708984,-0.01084214448928833,0.17366558398515947,1.2849911820721531,0.017761409282684326,0.01956307888031006,0.0007592141628265381,0.022066712379455566,0.04152369499206543,-0.1330825388431549,-0.2165045440196991,-0.07918426394462585,-0.20835304260253906,-0.06673112511634827,-0.2091122567653656,0.004845112562179565,0.00978153944015503,-0.004845112562179565,-0.00978153944015503,-0.09540906548500061,0.061577796936035156,-0.0984937846660614,0.03951108455657959,-0.033927470445632935,0.2637450098991394,-0.05168887972831726,0.22222131490707397,-0.08336594700813293,0.31106704473495483,-0.08885261416435242,0.2629702687263489,0.4802495539188385,21.69,13.88,0.0,13.58,8.16,7.97,65.283,1_frame_00017.jpg
1,good_form,112.10010987793315,108.97736708163659,110.53873847978487,3.1227427962965635,106.88860730482884,106.55258072581739,106.72059401532312,0.3360265790114454,158.95872855998985,161.82527396204975,160.3920012610198,117.9829268289797,118.87201908692144,118.42747295795057,19.697915030602644,144.7316731423393,147.92461797264016,-0.06661862134933472,-0.061142921447753906,-0.06388077139854431,0.0,-0.0026661157608032227,-0.012964010238647461,-0.007815062999725342,0.7510790706357535,1.1861511708532357,0.01519840955734253,0.02210533618927002,0.0007255077362060547,0.02758103609085083,0.03994828462600708,-0.125910222530365,-0.19896170496940613,-0.07390719652175903,-0.19242119789123535,-0.06361150741577148,-0.1916956901550293,0.004339456558227539,0.01105266809463501,-0.004339456558227539,-0.01105266809463501,-0.08116269111633301,0.07767128944396973,-0.09257864952087402,0.050090253353118896,-0.026745736598968506,0.2696876525878906,-0.041944146156311035,0.22973936796188354,-0.07849657535552979,0.3193281888961792,-0.07961463928222656,0.26690804958343506,0.46864935755729675,19.29,13.83,7.17,13.43,7.33,7.72,68.776,1_frame_00018.jpg
1,good_form,99.02102807933466,99.13136046220377,99.07619427076921,0.1103323828691174,96.46035080407223,97.73582487585571,97.09808783996397,1.2754740717834778,160.25997345312206,163.23368543080664,161.74682944196434,115.40529817585623,120.4442399852523,117.92476908055426,18.34491272874664,151.47213341336575,153.07839858427207,-0.04272115230560303,-0.039310991764068604,-0.041016072034835815,0.0,-0.01101750135421753,-0.013686120510101318,-0.012351810932159424,0.46505563547901985,1.0283115746625526,0.019303083419799805,0.021602332592010498,0.001984715461730957,0.025012493133544922,0.03847944736480713,-0.12265810370445251,-0.20377781987190247,-0.07143309712409973,-0.2016330063343048,-0.061627715826034546,-0.19964829087257385,0.00476720929145813,0.010801166296005249,-0.00476720929145813,-0.010801166296005249,-0.08207812905311584,0.053522318601608276,-0.09105560183525085,0.028509825468063354,-0.022389262914657593,0.24667873978614807,-0.0416923463344574,0.20819929242134094,-0.07106062769889832,0.291402131319046,-0.07736948132514954,0.24489817023277283,0.45045655965805054,22.48,14.96,0.0,13.89,8.29,7.64,67.254,1_frame_00019.jpg
1,good_form,101.45248575648365,95.3200651874717,98.38627547197768,6.1324205690119555,102.0889484610055,95.76356309196582,98.92625577648566,6.3253853690396795,163.08202552402327,164.96799330530075,164.025009414662,117.28113022298139,118.46553432879666,117.87333227588903,16.03235724482744,154.51515126281626,154.71446330536497,-0.0430377721786499,-0.02952253818511963,-0.036280155181884766,0.0,-0.014275014400482178,-0.014442384243011475,-0.014358699321746826,0.5009760273102042,1.5554733233932445,0.01182258129119873,0.021697580814361572,0.004972279071807861,0.035212814807891846,0.030676960945129395,-0.11299437284469604,-0.20631304383277893,-0.06219971179962158,-0.20327159762382507,-0.05319494009017944,-0.1982993185520172,0.0028940439224243164,0.010848790407180786,-0.0028940439224243164,-0.010848790407180786,-0.07475095987319946,0.05388656258583069,-0.08067429065704346,0.018673747777938843,-0.01751798391342163,0.2349000871181488,-0.02934056520462036,0.2042231261730194,-0.060475945472717285,0.2776033580303192,-0.06623190641403198,0.23976567387580872,0.44121313095092773,22.67,12.7,0.03,14.66,8.11,7.33,65.495,1_frame_00020.jpg
1,good_form,125.39591094819899,131.09096376515336,128.24343735667617,5.695052816954373,125.34703131795166,131.66185766462385,128.50444449128776,6.3148263466721914,163.98234009427452,167.05135217857108,165.5168461364228,108.15392353067408,119.14238251996112,113.6481530253176,14.54447174923252,146.5302671156779,140.69009760323087,-0.11735212802886963,-0.11774235963821411,-0.11754724383354187,0.0,-0.006592214107513428,-0.0033559799194335938,-0.004974097013473511,1.3306267986644138,6.21646045014502,0.005659580230712891,0.014391481876373291,0.004623979330062866,0.014001250267028809,0.029806554317474365,-0.12471640110015869,-0.3116319179534912,-0.07161945104598999,-0.24696871638298035,-0.055331408977508545,-0.24234473705291748,0.0013095736503601074,0.0071957409381866455,-0.0013095736503601074,-0.0071957409381866455,-0.09251177310943604,0.12454786896705627,-0.08497965335845947,0.11054661870002747,-0.03380101919174194,0.3298240602016449,-0.039460599422454834,0.30001750588417053,-0.08591955900192261,0.365132600069046,-0.08162367343902588,0.33886203169822693,0.6414559781551361,14.38,12.86,20.0,15.15,5.15,8.1,75.641,1_frame_00100.jpg
1,good_form,127.8884804079543,126.35994865948832,127.12421453372131,1.52853174846598,125.56945825033448,129.35926248164105,127.46436036598777,3.789804231306576,163.1368504433427,166.36401337424996,164.75043190879632,106.85937276456356,116.21611928548256,111.53774602502307,15.333872518856973,138.98064534517403,135.5513570575761,-0.11642098426818848,-0.11603003740310669,-0.11622551083564758,0.0,0.001808762550354004,-0.009196579456329346,-0.003693908452987671,1.1480207972048138,0.5373420395933883,0.009742677211761475,0.015582561492919922,0.007680982351303101,0.01597350835800171,0.038384199142456055,-0.12406867742538452,-0.30434203147888184,-0.06725466251373291,-0.2360997200012207,-0.06011897325515747,-0.2284187376499176,0.006639301776885986,0.007791280746459961,-0.006639301776885986,-0.007791280746459961,-0.08293187618255615,0.12421226501464844,-0.09411782026290894,0.10823875665664673,-0.029245495796203613,0.3312596082687378,-0.03898817300796509,0.29287540912628174,-0.08474063873291016,0.3651300072669983,-0.08492124080657959,0.3354743719100952,0.6356016397476196,14.69,14.43,18.51,14.89,5.25,7.67,75.445,1_frame_00101.jpg
0,bad_form,127.7132805032476,131.70987847471244,129.71157948898002,3.996597971464837,125.15911769550347,130.4081852204245,127.783651457964,5.2490675249210454,160.7875096899739,162.7940249634017,161.79076732668779,108.2405170678279,112.80073698405498,110.52062702594144,18.248184444580254,143.83678140506126,137.87469034737734,-0.12095791101455688,-0.12365442514419556,-0.12230616807937622,0.0,-0.006038010120391846,-0.0026478171348571777,-0.004342913627624512,0.07701680735012882,0.7011131949800116,0.005439639091491699,0.014168024063110352,0.002522289752960205,0.01147150993347168,0.02261883020401001,-0.11797091364860535,-0.25661709904670715,-0.06929245591163635,-0.2030867338180542,-0.0637982189655304,-0.200564444065094,0.003917723894119263,0.007084012031555176,-0.003917723894119263,-0.007084012031555176,-0.08279004693031311,0.12804192304611206,-0.08237102627754211,0.11657041311264038,-0.026705652475357056,0.3155677914619446,-0.032145291566848755,0.29294896125793457,-0.07675203680992126,0.3504711985588074,-0.07972320914268494,0.33106303215026855,0.5721848905086517,13.97,13.5,0.0,13.92,5.22,8.33,54.94,1_frame_00103.jpg
1,good_form,129.96540665129984,132.83088016115403,131.39814340622695,2.8654735098541835,124.21337580340116,132.5191947038434,128.36628525362227,8.305818900442233,159.33198133936858,164.7474283938587,162.03970486661365,117.68546406539036,118.6619972775607,118.17373067147554,18.10604466311231,131.34614146082427,154.23770651470872,-0.1145164966583252,-0.12204563617706299,-0.11828106641769409,0.0,-0.005367159843444824,-0.0021434426307678223,-0.0037553012371063232,3.6317661525263154,10.127945869848674,0.0003738999366760254,0.0047408342361450195,0.011019349098205566,0.0027883052825927734,0.003996014595031738,-0.11620008945465088,-0.2370067834854126,-0.07278174161911011,-0.1935938000679016,-0.05021357536315918,-0.18257445096969604,0.0011136531829833984,0.0023704171180725098,-0.0011136531829833984,-0.0023704171180725098,-0.07944315671920776,0.1168869137763977,-0.07808160781860352,0.11967521905899048,-0.030345380306243896,0.30130285024642944,-0.030719280242919922,0.2973068356513977,-0.07407599687576294,0.3415101170539856,-0.0759381651878357,0.340359628200531,0.538309633731842,13.5,13.93,20.0,13.96,5.16,8.42,74.978,1_frame_00104.jpg
